Name,Types,Rating,Number of Ratings,Address,Latitude,Longitude
"Ceviche Hut","restaurant,food,point_of_interest,establishment","4.2","220","Marginal Balneario La Monserrate Kiosko 42 unit 42, Luquillo","18.380791","-65.735301"
"A Fuego Bar & Restaurant","restaurant,food,point_of_interest,establishment","4.5","169","Kioskos de Luquillo #50, Luquillo","18.3809713","-65.7345346"
"Crio Mar","restaurant,food,point_of_interest,establishment","4.5","17","Calle Marginal","18.3806958","-65.7354196"
"Nana's - Luquillo","restaurant,food,point_of_interest,establishment","4.7","26","Calle A, Luquillo","18.3780269","-65.7209879"
"The Ossobuco","restaurant,food,point_of_interest,establishment","4.3","34","Calle Marginal","18.3803295","-65.7362626"
"Terruo","restaurant,food,point_of_interest,establishment","4.5","704","None","18.3803531","-65.7367057"
"KFC Luquillo (Fast Food Restaurant)","restaurant,food,point_of_interest,establishment","4","60","Plaza Oriente Shopping Carr #3","18.3774168","-65.7199644"
"Subway","restaurant,food,point_of_interest,establishment","4.7","17","Luquillo","18.3797537","-65.7208033"
"Sebis Dogs","restaurant,food,point_of_interest,establishment","5","2","Calle Luquillo Beach Boulevard, Luquillo","18.3824274","-65.7205414"
"Rincn del Sabor","restaurant,food,point_of_interest,establishment","4.7","217","263 Calle Fernndez Garcia, Luquillo","18.3741509","-65.7154529"
"La Cava de Terroir","restaurant,food,point_of_interest,establishment","4.3","24","Puerto Rico, Luquillo","18.3619672","-65.7609086"
"Carabal Bar & Grill","bar,restaurant,food,point_of_interest,establishment","4.6","127","Avenida A","18.3652914","-65.7637423"
"El Jefe Burger Shack And Mojito Factory","restaurant,food,point_of_interest,establishment","4.1","99","Rout 3, KM 34.5, Cll 14 De Julio, Luquillo","18.3801864","-65.7372952"
"The Brass Cactus","bar,restaurant,food,point_of_interest,establishment","4.5","617","Puerto Rico","18.3806524","-65.7220824"
"Palio","restaurant,food,point_of_interest,establishment","3.3","13","6000 Blvd Rio Mar, Ro Grande","18.3882153","-65.7547832"
"Wiken Munchies Artesanales","restaurant,food,point_of_interest,establishment","4.3","6","66 Calle Fernndez Garcia, Luquillo","18.380322","-65.7245917"
"Arena y Mar","restaurant,food,point_of_interest,establishment","None","None","None","18.3810374","-65.7333571"
"Pasta Box","restaurant,food,point_of_interest,establishment","4.8","56","97HH+C3, Luquillo","18.3787117","-65.7223392"
"The ossobuvo","restaurant,food,point_of_interest,establishment","4.3","1126","Los kioscos de Luquillo #29","18.3809924","-65.7339605"
"Kiosko San Miguel #59","restaurant,food,point_of_interest,establishment","3","3","Calle Marginal, Luquillo","18.3810684","-65.7338421"
"Amigo","supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment","4.2","885","Calle 2 Urb, Luquillo","18.3764055","-65.7206108"
"Farmers market","supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment","4.1","9","Luquillo","18.3802278","-65.7234875"
"Ocean View Mini Market","supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment","None","None","Luquillo","18.3724507","-65.7165511"
"El Criollazo","supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment","4.3","3","27 Calle Esperanza, Luquillo","18.374351","-65.7134976"
"Yunque Mar Beach Hotel","lodging,point_of_interest,establishment","4.5","163","6 Calle 1, Luquillo","18.381304","-65.745231"
